Word	Frequency
[extended	148
killing	148
drop	148
hide	147
since	147
business	147
yeah	147
universe	147
weather	147
fallen	146
art	146
chain	146
valentine	146
fast	145
quiet	145
thanks	145
holiday	144
e	144
advantage	144
darling	144
sure	143
wave	143
shadows	143
di	142
(this	142
me?	142
be)	141
murder	141
songs	141
rising	141
dying	141
boom	140
dinah	140
(intro)	140
strings	140
araby	140
something's	140
wasted	139
father	139
guess	138
age	138
sheik	138
ich	138
norwegian	138
everybody's	138
women	137
sexy	137
temptation	137
chains	136
floor	136
yellow	136
london	136
sale	136
tú	135
[#][demo	135
circle	135
loose	135
pride	135
lives	134
orleans?	134
heat	134
blow	134
take]	133
tenderness	133
broadway	133
tear	132
god's	132
cut	132
talking	132
park	132
luck	132
dawn	132
happened	132
piece	132
turning	132
wide	132
flying	132
mystery	132
beauty	132
rider	131
tennessee	131
glad	131
antonio	131
catch	131
afraid	131
understand	130
bless	130
whiskey	130
wants	130
sally	129
love?	129
anthem	129
monkey	128
kick	128
killer	128
spell	128
bound	127
reasons	127
string	127
hair	127
tide	127
'til	126
jones	126
natural	126
suicide	126
bottle	126
cat	126
ii	126
pick	125
bones	125
final	125
grass	125
dry	125
memphis	125
(a	124
wedding	124
message	124
talkin'	124
holding	123
winding	123
pop	123
jane	123
pass	123
beginning	123
enchanted	122
count	122
o'	122
tall	122
games	122
heavy	122
fields	121
dangerous	121
above	121
stairway	121
singing	121
watching	121
imagination	121
heartbreak	121
heroes	121
enemy	121
satisfied	120
soy	120
lookin'	120
throw	120
poison	120
minute	120
gypsy	119
baby's	119
ship	119
animal	119
guilty	119
jingle	119
va	118
act	118
whispering	118
shut	118
use	118
flown)	118
il	118
clown	117
marvelous	117
greatest	117
unforgettable	117
hundred	117
sunrise	117
creepers	117
jeepers	117
apart	117
tequila	116
wire	116
melody	116
speed	116
noche	116
shit	116
nada	115
bomb	114
vez	114
bottom	114
fuck	114
parade	113
electric	113
[acoustic]	113
mouth	113
hours	113
(that's	113
pray	113
horses	113
doctor	113
no.	113
do?	113
gangsta	113
planet	112
girlfriend	112
pie	112
fade	112
fat	112
invisible	112
youth	112
news	112
lazy	112
honky	112
tease	111
hearted	111
motion	111
miracle	111
push	111
minutes	111
(with	110
softly	110
becomes	110
horse	110
diamond	110
ordinary	110
sand	110
piano	110
nature	110
der	109
harlem	109
corazón	109
build	109
voices	109
laughing	109
flower	109
less	109
friday	109
chasing	109
tango	109
prisoner	109
weekend	108
funky	108
wishing	108
century	108
apple	108
stormy	108
digital	108
(don't	108
such	108
gave	108
ol'	107
birds	107
carol	107
freak	107
now?	107
misery	107
needed	107
point	107
rather	107
caught	107
crime	107
metal	107
law	106
(is	106
rolling	106
answer	106
sit	106
six	106
lucy	106
we'll	106
somebody's	106
rich	105
bay	105
couldn't	105
says	105
kisses	105
day's	105
york,	105
promises	105
style	104
lead	104
stereo	104
distance	104
clean	104
jealous	104
believer	104
voy	104
early	104
superstar	104
scream	103
key	103
orleans	103
mas	103
up,	103
both	103
sleigh	103
wheels	103
ashes	103
canadian	102
fantasy	102
movin'	102
past	102
foot	102
disco	102
hadn't	102
each	102
(love	101
life?	101
jump	101
changed	101
(what	101
hungry	101
church	101
hammer	101
cherry	101
flesh	101
lately	101
5	101
cuando	101
warm	101
todo	100
favorite	100
wit	100
[the	100
moving	100
hat	100
bitter	100
lips	100
dogs	100
damn	100
pictures	100
worth	100
drink	99
double	99
knock	99
shall	99
crush	99
race	99
[stereo	99
learn	99
kings	99
bobby	98
knife	98
third	98
master	98
regrets	98
seasons	98
thunder	98
cruel	98
luna	98
wonderland	97
dirt	97
runnin'	97
bone	97
ma	97
tonk	97
battle	97
attack	97
sail	97
grand	97
driving	97
vain	97
version	97
bright	97
crash	96
wicked	96
ones	96
tha	96
(just	96
makin'	96
kingdom	96
twist	96
pink	96
'round	96
bleed	96
beast	96
ooh	96
trying	96
ruby	95
mess	95
wasn't	95
ladies	95
groove	95
already	95
revenge	95
keepin'	95
madness	95
escape	95
endless	95
tune	95
birthday	95
letters	94
zero	94
doin'	94
beer	94
hangin'	94
sorrow	94
grave	94
he'll	94
ends	94
proud	94
diga	94
north	94
hallelujah	94
sitting	94
anybody	93
married	93
bullet	93
vas	93
breakdown	93
eight	93
non	93
lines	93
twice	93
monster	93
paint	92
it)	92
crown	92
interlude	92
a)	92
lightning	92
later	92
action	92
falls	92
pay	91
afternoon	91
rebel	91
safe	91
(they	91
everyone	91
papa	91
drunk	91
we've	90
marie	90
moon)	90
album	90
tv	90
windmills	90
esta	90
thou	90
dress	90
stuff	90
week	90
lifetime	89
[lp	89
brave	89
jungle	89
wolf	89
hush	89
darlin'	88
fallin'	88
b	88
modern	88
thru	88
spend	88
everytime	88
rainbows	88
bill	88
steel	88
venus	88
winds	88
ave	87
heartaches	87
iron	87
doo	87
loud	87
beach	87
fortune	87
dandy	87
somethin'	87
winner	87
scarlet	87
sixteen	87
met	87
anywhere	86
billy	86
rollin'	86
[12"	86
flow	86
stupid	86
pressure	86
meant	86
(as	86
(i'll	86
tea	86
view	86
cow	86
(where	86
bus	86
gift	86
turned	85
o'clock	85
check	85
pas	85
do)	85
hollow	85
rules	85
southern	85
worlds	85
troubles	85
c'mon	85
thee	85
avenue	84
mississippi	84
journey	84
phone	84
daughter	84
mujer	84
gods	84
dollar	84
hop	84
luv	83
job	83
devil's	83
known	83
no,	83
tight	83
mischief	83
release	83
hey,	83
